0xc02624Affa30299fA164e7176A37610835A923A7,19.04,19040000000000000000,017-concorde-web3hub-april
0xACBa499f7F33119001077700734010C5fBb82FEe,5.25,5250000000000000000,017-concorde-web3hub-april
0xbD9f96663E07a83ff18915c9074d9dc04d8E64c9,50.4,50400000000000000000,018-nodefactory-march-april.md
0x56149df3daa0827fd883ddf6990764f0e2011e3d,1.575,1575000000000000000,022-dorg-q2-2021
0x03fAdCE719cA1cFE4F114E18c862Be25e40fbF3c,1.75,1750000000000000000,022-dorg-q2-2021
0x61ffe691821291d02e9ba5d33098adcee71a3a17,51.8,51800000000000000000,022-dorg-q2-2021
0x5e642f8c81de40e7e49b6a2b606dfb94a005bc44,9.45,9450000000000000000,022-dorg-q2-2021
0x653e42be2bc9025a8e90a34284c612de773c743b,0.84,840000000000000000,022-dorg-q2-2021
0x15f07dda9dc253c9b6df3ab6c1e3d2a3d80177c5,1.8,1800000000000000000,022-dorg-q2-2021
0x58b753f0c417494226af608b63e80028255cbc64,0.56,560000000000000000,022-dorg-q2-2021
0xc02624affa30299fa164e7176a37610835a923a7,23.38,23380000000000000000,022-dorg-q2-2021
0xB1B7586656116D546033e3bAFF69BFcD6592225E,239.155,239155000000000000000,022-dorg-q2-2021
0x7c418d7083f6c22b3d600b8fe4f0cf93564098dd,20.86,20860000000000000000,022-dorg-q2-2021
0xC3C54Ee8B495A5004602AFf40c5880fb8E375aaD,122.955,122955000000000000000,022-dorg-q2-2021
0x041ac4b6c6aa0d0daeb035f2263732bc41f9fbd9,5.52,5520000000000000000,022-dorg-q2-2021
0x152ad2e12e102abf64280c5e3d70257effb0ede0,4.725,4725000000000000000,022-dorg-q2-2021
0xc1f17a35fab69e03f98ecfce0e0a1c0eaa3e32c4,28.35,28350000000000000000,022-dorg-q2-2021
0x74fc1287d73869f795b1179576c7b1a99203eaf7,0.98,980000000000000000,022-dorg-q2-2021
0x2e7f4dd3acd226ddae10246a45337f815cf6b3ff,107.1,107100000000000000000,022-dorg-q2-2021
0x639749b7b08aee65039c21d8a411103c6cebebf0,52.71,52710000000000000000,022-dorg-q2-2021
0xaa01dec5307cf17f20881a3286dcaa062578cea7,3.15,3150000000000000000,022-dorg-q2-2021
0x37341cbb14c5f128a70b149726ad8b2ce6f4c793,33.096,33096000000000000000,022-dorg-q2-2021
0x355382c41debac9ff3161eaa37472e8efeb0db6a,6.3,6300000000000000000,022-dorg-q2-2021
0x3a8af31d3cfe775172853528167bb2b5760bf7b9,4.41,4410000000000000000,022-dorg-q2-2021
0x7f3A152F09324f2aee916CE069D3908603449173,2.1875,2187500000000000000,022-dorg-q2-2021
0x62aCE5D0B7b53A717d14Cd6f2fB697a17B998810,91,91000000000000000000,023-kobby-pentangeli-may-june
0x937F5b32Bc3cafcd1B02462F93e6AE5a843f6C6A,88.2,88200000000000000000,024-kevin-2021-june
0xb47672b7953336ba3fE1084714A93e7b5CF083C7,22.05,22050000000000000000,025-Polywrap-rebranding-Phase-1
